trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1291,LONG,2018-05-07 14:30,2018-05-07 16:30,9295.00,9342.12,0.5069,9.88,120.0,L2,"SL L2 hit (close $9,357.70)",5
1292,SHORT,2018-05-07 17:50,2018-05-07 23:05,9364.63,9326.08,0.4117,8.02,315.0,L1,"SL L1 hit (close $9,336.00)",6
1293,SHORT,2018-05-08 04:05,2018-05-08 06:15,9425.88,9366.81,0.6267,12.21,130.0,L1,"SL L1 hit (close $9,373.69)",5
1294,LONG,2018-05-08 07:25,2018-05-08 09:05,9363.95,9364.00,0.0005,0.01,100.0,L1,"SL L1 hit (close $9,371.13)",8
1295,SHORT,2018-05-08 10:35,2018-05-08 12:25,9284.99,9117.03,1.8089,35.25,110.0,L4,"SL L4 hit (close $9,145.00)",7
1296,SHORT,2018-05-08 13:25,2018-05-09 02:00,9128.99,9177.53,-0.5317,-10.37,755.0,L1,"Time exit (755min, P&L=-0.53%)",6
1297,SHORT,2018-05-09 04:05,2018-05-09 08:50,8973.00,9140.94,-1.8716,-36.48,285.0,L1,Hard stop -1.9%,14
1298,SHORT,2018-05-09 10:00,2018-05-09 12:00,9120.07,9328.22,-2.2823,-44.47,120.0,L1,Hard stop -2.3%,6
1299,LONG,2018-05-09 13:20,2018-05-09 15:15,9287.99,9296.00,0.0862,1.68,115.0,L1,"SL L1 hit (close $9,290.00)",7
1300,LONG,2018-05-09 16:15,2018-05-09 17:45,9309.99,9338.76,0.3090,6.02,90.0,L1,"SL L1 hit (close $9,333.00)",5
1301,SHORT,2018-05-09 18:45,2018-05-09 19:55,9296.40,9289.25,0.0769,1.50,70.0,L1,"SL L1 hit (close $9,305.00)",12
1302,LONG,2018-05-10 04:00,2018-05-10 05:10,9339.20,9358.89,0.2108,4.11,70.0,L1,"EMA new down line (2 bars, P&L=+0.21%)",10
1303,SHORT,2018-05-10 06:10,2018-05-10 07:10,9339.82,9321.97,0.1911,3.72,60.0,L1,"EMA new up line (2 bars, P&L=+0.19%)",8
1304,LONG,2018-05-10 08:30,2018-05-10 14:10,9373.90,9353.00,-0.2230,-4.34,340.0,L1,"SL L1 hit (close $9,358.80)",12
1305,LONG,2018-05-10 15:25,2018-05-10 17:10,9356.99,9235.03,-1.3034,-25.39,105.0,L1,"SL L1 hit (close $9,339.98)",5
1306,SHORT,2018-05-10 18:10,2018-05-10 20:40,9094.00,9074.90,0.2100,4.09,150.0,L1,"EMA new up line (2 bars, P&L=+0.21%)",11
1307,LONG,2018-05-11 04:05,2018-05-11 06:10,8941.00,8994.00,0.5928,11.54,125.0,L1,"EMA new down line (2 bars, P&L=+0.59%)",6
1308,SHORT,2018-05-11 07:15,2018-05-11 08:40,8795.13,8776.57,0.2110,4.11,85.0,L1,"EMA new up line (6 bars, P&L=+0.21%)",17
1309,LONG,2018-05-11 10:00,2018-05-11 11:55,8758.00,8594.98,-1.8614,-36.26,115.0,L1,Hard stop -1.9%,7
